Year,Month,County,Count,Population,populationweightedcount,Monthlyavgpm2.5,MonthlyavgNO2,MonthlyavgOzone,MonthlyavgSO2,MonthlyavgCO,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,pct_unhealthy_days,pct_good_days,aqi_category,date,season,birth_rate_per_1000,county_size
2000,1,Orange,3803.0,2854513,0.0013322762937145,27.727027027027027,36.0004675483871,0.0107785564516129,3.1972550806451614,1.3962168427419357,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3322762937145496,Major
2000,1,Placer,219.0,251012,0.0008724682485299508,25.4,19.240660451612904,0.0127541063829787,,0.5665291774193548,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.8724682485299508,Large
2000,1,Plumas,13.0,20754,0.0006263852751276862,16.727272727272727,,0.0185476206896551,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.6263852751276862,Small
2000,1,Riverside,1988.0,1558985,0.0012751886644194,20.388,24.74368862903226,0.0148284143646408,1.9686034516129032,1.192131247311828,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.275188664419478,Major
2000,1,Sacramento,1426.0,1229940,0.0011594061498934,28.10169491525424,18.110227564935062,0.0090743161290322,1.36543565,0.7758813387096775,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.159406149893491,Major
2000,1,San Benito,74.0,53781,0.0013759506145292,,,0.0210050833333333,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3759506145292948,Medium
2000,1,San Bernardino,2355.0,1718037,0.0013707504553161,20.26304347826087,26.75489022619048,0.0182633672316384,1.15647386,0.7095353666666666,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3707504553161545,Major
2000,1,San Diego,3574.0,2827366,0.0012640740533768,21.17113402061856,27.84131195709571,0.014296215339233,3.125503978494624,1.6200936091644205,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.2640740533768886,Major
2000,1,San Francisco,720.0,777885,0.0009255866869781524,12.243333333333334,26.291140774193547,0.0104136129032258,2.7741612903225805,0.9909298387096774,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.9255866869781523,Large
2000,1,San Joaquin,758.0,567885,0.001334777287655,35.09090909090909,22.78849629032258,0.0105590860215053,,0.9863402661290324,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.334777287655071,Large
2000,1,San Luis Obispo,178.0,247839,0.0007182081916082618,13.022222222222222,12.948139837398374,0.0170179673202614,1.9281932601626013,0.6932099677419354,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.7182081916082619,Large
2000,1,San Mateo,797.0,707820,0.0011259924839648,13.588235294117649,20.573632548387096,0.0102105483870967,,1.1367315161290323,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.1259924839648499,Large
2000,1,Santa Barbara,446.0,399990,0.0011150278756968,9.658333333333331,9.423299770149251,0.0231748948787062,0.3654684631336405,0.4670848426229508,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.1150278756968923,Large
2000,1,Santa Clara,2175.0,1684947,0.0012908417890889,14.607142857142858,27.430803612903222,0.0092485483870967,,1.3493474677419357,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.290841789088915,Major
2000,1,Santa Cruz,295.0,255835,0.0011530869505736,8.655555555555555,4.066959870967742,0.0153691048387096,1.4209581290322582,0.3305323225806452,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.1530869505736119,Large
2000,1,Shasta,141.0,163615,0.0008617791767258503,17.0,,0.0200398555555555,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.8617791767258504,Medium
2000,1,Sierra,,3574,,,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,,Small
2000,1,Siskiyou,44.0,44218,0.0009950698810439187,,,0.0162352258064516,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.9950698810439187,Small
2000,1,Solano,474.0,396974,0.0011940328585751,16.01,19.478586483870966,0.011545,1.7992317741935484,1.0691544032258065,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.1940328585751208,Large
2000,1,Sonoma,451.0,460421,0.0009795382921282912,12.645454545454545,16.840606741935485,0.0138925322580645,,0.9559701451612904,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.9795382921282912,Large
2000,1,Stanislaus,550.0,449471,0.0012236607033601,38.18181818181818,22.610161903225805,0.0113590655737704,,0.8642636209677419,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.2236607033601723,Large
2000,1,Sutter,103.0,79192,0.001300636427922,14.5,16.816509612903225,0.0111628225806451,,0.4344190161290323,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3006364279220122,Medium
2000,1,Tehama,47.0,56170,0.0008367455937333095,,,0.0034250967741935,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.8367455937333096,Medium
2000,1,Trinity,,12980,,,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,,Small
2000,1,Tulare,588.0,368627,0.001595108334441,44.8,21.81907435483871,0.0235288076923076,,0.949929870967742,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.5951083344410473,Large
2000,1,Tuolumne,33.0,54658,0.0006037542537231512,,,0.0226364509803921,,0.5049513064516129,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.6037542537231512,Medium
2000,1,Ventura,887.0,756506,0.0011724956576682,12.464864864864865,15.050362443243245,0.0157502165898617,0.9363654516129032,0.4144237638888889,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.1724956576682803,Large
2000,1,Yolo,169.0,169835,0.000995083463361498,15.7,13.123486,0.0125699032258064,,0.3035742741935484,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,0.995083463361498,Medium
2000,1,Yuba,80.0,60372,0.0013251176041873,,,,,,,,,,,,,,,,0.0,0.0,,2000-01-01,Winter,1.3251176041873716,Medium
2000,2,Alameda,1626.0,1449840,0.0011215030624068,9.061111111111112,18.72214571264368,0.017779974137931,,0.7374844655172413,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.1215030624068862,Major
2000,2,Alpine,0.0,1209,0.0,,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.0,Small
2000,2,Amador,19.0,35153,0.0005404944101499161,,,0.0252146896551724,,0.3318425517241379,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.5404944101499161,Small
2000,2,Butte,164.0,203807,0.000804682861727026,11.75,12.400797826086956,0.0204849545454545,,0.574747,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.8046828617270261,Large
2000,2,Calaveras,22.0,40645,0.0005412719891745603,5.25,,0.0256036896551724,,0.2801221724137931,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.5412719891745602,Small
2000,2,Colusa,27.0,18817,0.0014348727214752,5.555555555555555,,0.0240688965517241,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.4348727214752617,Small
2000,2,Contra Costa,977.0,952810,0.0010253880626777,9.78076923076923,14.986597564814817,0.018707698275862,1.3117138078817734,0.581771701754386,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.0253880626777636,Large
2000,2,Del Norte,31.0,27440,0.0011297376093294,,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.129737609329446,Small
2000,2,El Dorado,115.0,157162,0.0007317290439164683,4.611111111111111,10.427286379310344,0.0325601896551724,,0.3647825086206896,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.7317290439164683,Medium
2000,2,Fresno,1095.0,801288,0.0013665498547338,19.55,17.154132344827588,0.0250087552447552,,0.6300929034482758,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.3665498547338784,Large
2000,2,Glenn,24.0,26416,0.0009085402786190188,,,0.0267565862068965,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.9085402786190188,Small
2000,2,Humboldt,104.0,126462,0.0008223814268317755,8.066666666666666,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.8223814268317755,Medium
2000,2,Imperial,198.0,142410,0.0013903518011375,11.282608695652174,18.57743401724138,0.0268897586206896,0.1793551034482758,0.9977739913793104,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.3903518011375606,Medium
2000,2,Inyo,12.0,17955,0.0006683375104427736,,,0.0408803103448275,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.6683375104427737,Small
2000,2,Kern,878.0,663803,0.0013226815787213,13.142222222222223,15.890161965346534,0.0266912943722943,,0.6939089385964913,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.3226815787213977,Large
2000,2,Kings,131.0,129835,0.0010089729271768,3.5,13.452024034482758,0.0228092758620689,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,1.0089729271768013,Medium
2000,2,Lake,36.0,58538,0.0006149851378591684,2.5,,0.027484724137931,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.6149851378591684,Medium
2000,2,Lassen,20.0,33719,0.0005931374002787746,,,,,,,,,,,,,,,,0.0,0.0,,2000-02-01,Winter,0.5931374002787746,Small
